DÍA;Ubic;Horario;Latitude;Longitude
LUNES;CAMPESINOS ENTRE LEANDRO VALLE Y JUÁREZ;8:00 A 16:00 HORAS;19,329368498;-99,326824648
LUNES;PORFIRIO DÍAZ ENTRE REFORMA E INDEPENDENCIA;8:00 A 16:00 HORAS;19,352164304;-99,315436951
MIÉRCOLES;JUÁREZ PONIENTE ENTRE AV. MÉXICO Y 12 DE DICIEMBRE;8:00 A 16:00 HORAS;19,361677076;-99,301783483
VIERNES;CAMINO PANORAMICO KM 28.5 DE CALZADA DESIERTO DE LOS LEONES;8:00 A 17:00 HORAS;19,318444744;-99,296058346
DOMINGO;AHUEHUETES ENTRE AV. SAN JOSÉ DE LOS CEDROS Y MONTE REAL;8:00 A 16:00 HORAS;19,365957966;-99,290250280
MIÉRCOLES;SAUCE, ROBLE MADROÑO ENTRE AV. SAN JOSÉ DE LOS CEDROS Y JACARANDAS;8:00 A 16:00 HORAS;19,371402755;-99,289091517
DOMINGO;PROLONGACIÓN JUÁREZ Y JUSTO SIERRA;8:00 A 16:00 HORAS;19,352415995;-99,288275306
JUEVES;ANTONIO GUTIÉRREZ ENTRE OCOTOLA Y CELESTINO PÉREZ;8:00 A 16:00 HORAS;19,360828080;-99,287451977
DOMINGO;FRAY BARTOLOME DE LAS CASAS ESQ. DESIERTO DE LOS LEONES;8:00 A 17:00 HORAS;19,328012340;-99,285359791
SÁBADO;25 DE DICIEMBRE ENTRE PASTORES Y MELCHOR;8:00 A 16:00 HORAS;19,375046339;-99,283664705
MARTES;RAFAEL CHECA Y DESIERTO DE LOS LEONES;8:00 A 17:00 HORAS;19,326813701;-99,282733870
VIERNES;MINA, ALDAMA Y ABASOLO;8:00 A 16:00 HORAS;19,342559548;-99,281372396
DOMINGO;SAN DIEGO Y ALDAMA PLAZA HIDALGO;8:00 A 17:00 HORAS;19,328479945;-99,272286687
JUEVES;SAN DIEGO ENTRE ALDAMA Y PLAZA HIDALGO;8:00 A 17:00 HORAS;19,328555321;-99,271672112
MARTES;ARBOLEDAS ESQ CON AV 29 DE OCTUBRE;8:00 A 17:00 HORAS;19,309689163;-99,270932618
LUNES;CDA. CAPULIN ENT. 14 DE FEBRERO Y AV. 29 DE OCT.;8:00 A 17:00 HORAS;19,311670131;-99,269138093
DOMINGO;AZUCENA Y JAZMIN;8:00 A 17:00 HORAS;19,317038314;-99,268451128
SÁBADO;NICOLAS FERNANDEZ Y EMILIANO ZAPATA;8:00 A 17:00 HORAS;19,317319300;-99,266462612
SÁBADO;PROL. VASCO DE QUIROGA (BAJO PUENTES DE SANTA FE);8:00 A 17:00 HORAS;19,366143963;-99,266338127
MIÉRCOLES;FRANCISCO VILLA Y EMILIANO ZAPATA;8:00 A 17:00 HORAS;19,320823949;-99,264552646
SÁBADO;FRANCISCO VILLA Y EMILIANO ZAPATA;8:00 A 17:00 HORAS;19,320832158;-99,264506076
DOMINGO;AVENIDA OJO DE AGUA S/N;07:00 A 17:00 HORAS;19,309155025;-99,263592770
MIÉRCOLES;AVENIDA OJO DE AGUA S/N;07:00 A 17:00 HORAS;19,309155025;-99,263592770
VIERNES;LAZARO CARDENAS ENTRE JAZMIN Y AV 29 DE OCTUBRE;8:00 A 17:00 HORAS;19,320242049;-99,262818713
SÁBADO;MINAS DE CENTENO Y COCONETLA;07:00 A 17:00 HORAS;19,297594955;-99,262017653
SÁBADO;MINAS DE CENTENO Y COCONETLA,;07:00 A 17:00 HORAS;19,297594955;-99,262017653
DOMINGO;ALCANFORES ENT DEL TRABAJO Y AV. 29 DE OCTUBRE;8:00 A 17:00 HORAS;19,323327989;-99,260200562
JUEVES;AV MEXICO 68 Y COLORINES;8:00 A 17:00 HORAS;19,320995780;-99,259143823
MARTES;AV. STIM ENTRE BOSQUES DE CACAOS Y FABRICA DE ARMAS;8:00 A 16:00 HORAS;19,399811028;-99,256920327
JUEVES;CALLE CORNEJAL Y MIQUIHUANA;07:00 A 17:00 HORAS;19,315931884;-99,256708758
LUNES;CALLE CORNEJAL Y MIQUIHUANA;07:00 A 17:00 HORAS;19,315931884;-99,256708758
LUNES;ZARAGOZA ENTRE ALTO LERMA Y AV. TAMAULIPAS;8:00 A 17:00 HORAS;19,355211376;-99,256532020
VIERNES;ALTA TENSION Y FLOR DEL CAMPO;8:00 A 17:00 HORAS;19,328582718;-99,255328023
MIÉRCOLES;COMONFORT, CORREGIDORA ENTRE RAYON Y GUADALUPE VICTORIA;8:00 A 17:00 HORAS;19,357299738;-99,253646027
MARTES;AV CENTENARIO ESQ CLAVEL;8:00 A 17:00 HORAS;19,329941288;-99,252485060
LUNES;CALZ. DE LAS AGUILAS ENT. AGAMENON E ILIADA;8:00 A 17:00 HORAS;19,340147082;-99,252277468
MARTES;ORQUIDEA Y AV DE LAS TORRRES;8:00 A 17:00 HORAS;19,329397676;-99,249406476
DOMINGO;CALLE HUAYATLA.;07:00 A 17:00 HORAS;19,305253338;-99,248591275
VIERNES;MOCTEZUMA ESQ. MELCHOR OCAMPO;8:00 A 17:00 HORAS;19,357692627;-99,248428896
LUNES;PASEO DE LAS LILAS ENTRE CARRETERA MÉXICO TOLUCA Y BOSQUES DE PALMITOS;8:00 A 16:00 HORAS;19,390318804;-99,248313952
DOMINGO;SANTA ANITA ENTRE TAMAULIPAS Y SAN FRANCISCO;8:00 A 17:00 HORAS;19,361690511;-99,247667960
LUNES;CALLE AZUCENA;07:00 A 17:00 HORAS;19,310834408;-99,247338068
MARTES;AVENIDA DE LAS TORRES;07:00 A 17:00 HORAS;19,323200610;-99,247337345
JUEVES;JAZMIN Y AV DE LAS TORRES;8:00 A 17:00 HORAS;19,330363626;-99,246886956
LUNES;RIO BRAVO ESQ. RIO MIXCOAC;8:00 A 17:00 HORAS;19,356455281;-99,246151448
DOMINGO;CALLE INDEPENDENCIA;07:00 A 17:00 HORAS;19,297235113;-99,245347370
JUEVES;CALLE INDEPENDENCIA;07:00 A 17:00 HORAS;19,297235113;-99,245347370
MARTES;CALLE INDEPENDENCIA;07:00 A 17:00 HORAS;19,297235113;-99,245347370
DOMINGO;AV DE LOS TANQUES ESQ ALLENDE;8:00 A 17:00 HORAS;19,330436692;-99,244992921
SÁBADO;AV DE LOS TANQUES ESQ ALLENDE;8:00 A 17:00 HORAS;19,330722537;-99,244830009
SÁBADO;CALLE VIOLETA,;07:00 A 17:00 HORAS;19,311998077;-99,243827969
DOMINGO;AV JALALPA CDA. CHALAHUITLE Y COLIPA 3;8:00 A 17:00 HORAS;19,366767750;-99,243281924
JUEVES;CALLE HORTENCIA;07:00 A 17:00 HORAS;19,315723917;-99,243130689
SÁBADO;AVENIDA LUIS CABRERA,;07:00 A 17:00 HORAS;19,321724195;-99,242620459
DOMINGO;JOSE MARIA JAURIETA ENTRE NICOLAS FEERNANDEZ Y ANTONIO RUIZ;8:00 A 17:00 HORAS;19,357343735;-99,241923414
MARTES;F.F.C.C. DE CUERNAVACA / KAHUA Y TEPOZANES;08:00 A 19:00 HORAS;19,277096769;-99,240992662
SÁBADO;DZEMUL / HOCABA Y HUI;08:00 A 19:00 HORAS;19,276244892;-99,240867886
MIÉRCOLES;BOSQUES / POTRERITO Y REGADERA;08:00 A 19:00 HORAS;19,270138456;-99,240788541
SÁBADO;AV. CENTENARIO ENTRE CALLE 1 Y JOSE MARIA HEREDIA;8:00 A 17:00 HORAS;19,354370958;-99,240628364
VIERNES;AV. XICOMECATL ENTRE COLUMBUS Y MORELOS;8:00 A 17:00 HORAS;19,361691511;-99,240616404
LUNES;CALLE LAS TORRES Y ANTONIO MACHADO;8:00 A 17:00 HORAS;19,355768316;-99,240129400
SÁBADO;FORTIN ENTRE PERAL Y AV. GUSTAVO DIAZ ORDAZ;8:00 A 17:00 HORAS;19,371888485;-99,239113891
JUEVES;CDA DEL ROSAL ENTRE AVENIDA DEL ROSAL Y PTA CEHUAYO;8:00 A 17:00 HORAS;19,356816172;-99,239009451
JUEVES;FORTIN ENTRE PERAL Y AV. GUSTAVO DIAZ ORDAZ;8:00 A 17:00 HORAS;19,371431009;-99,238880889
SÁBADO;MANI / SINANCHE Y POLOLNA;08:00 A 19:00 HORAS;19,292225666;-99,237873327
JUEVES;MANI / HOMUN Y SISAL;08:00 A 19:00 HORAS;19,283648715;-99,237434562
DOMINGO;HOMUN / MANI Y TIXCANDAL;08:00 A 19:00 HORAS;19,283747308;-99,237159556
